,0.1,0.2,0.25,0.3,0.4,0.5,0.6,0.7,0.75,0.8,0.9
Australia,-0.1,0.2,,1.6,4.4,8.9,15.4,24.4,,36.9,55.2
Canada,,,,1,3,6,11,19,,30,47
China,0.7,2.8,,5.8,9.6,14.4,20.6,28.9,,40.7,58.6
Denmark,-14.4,-17.3,,-18.1,-18.1,-17.6,-15.8,-10.5,,1.3,23.6
Finland,-0.9,-0.9,,-0.3,2.2,7.4,15,25,,38.6,57.7
France,,,,,,,,,,,39
Germany,-0.3,-0.2,,0.3,1.5,3.9,9,18.9,,34,55.7
India,0.2,1,,2.5,4.8,8.1,12.9,19.8,,30.1,47.1
Indonesia,0,0.4,,1.3,2.8,5.1,8.5,13.5,,21.1,34.6
Ireland,0,0.2,,2.5,6.6,12.2,18.9,28.5,,40.4,57.7
Italy,,,,,7,,,,,36.2,51.5
Japan,0.5,2.1,,4.8,8.7,13.9,20.7,29.8,,42.3,60.7
South-Korea,0.5,1.8,,4,7.4,12.3,18.9,27.9,,39.9,56.9
New,,,,,,,,,,,48.3
Norway,0.1,0.7,,2.6,5.8,10.4,16.4,24.2,,34.6,49.6
Spain,,,2.1,,,13.2,,,34.7,,58.1
Sweden,-5.7,-6.8,,-6.9,-6.6,-4.8,-0.6,7.1,,19.9,41.4
Switzerland,,,,,,,,,,,28.7
UK,,,,,,5,,,25,,44
US,-0.2,-0.1,,0.2,1.1,2.8,5.6,10.1,,17.4,30.2
